week,game,play,lat_dist,lon_dist,ball_prox,db_prox,sl_prox,bl_prox,qb_speed,t_throw,result,route
1.0,2018090600.0,75.0,19.5,13.61,2.5908299828433408,2.957870855869133,5.463333000000006,,0.84,2.5,1.0,HITCH
1.0,2018090600.0,146.0,6.710000000000001,9.299999999999997,0.6560487786742706,1.8917187951701504,16.543333000000004,,0.46,2.0,0.0,HITCH
1.0,2018090600.0,168.0,16.78,2.6799999999999997,0.5946427498927402,3.39324328629705,11.44,,1.65,2.301000000000002,0.0,SCREEN
1.0,2018090600.0,190.0,15.229999999999999,31.229999999999997,1.2175385004179573,3.8989485762189804,12.13,3.420657831470431,2.38,2.801000000000002,1.0,CORNER
1.0,2018090600.0,256.0,17.98,8.43,1.7791290003819316,2.3517227727774395,12.683333000000005,,0.9,2.0,0.0,OUT
1.0,2018090600.0,320.0,15.259999999999998,8.680000000000001,1.6914490828872144,1.417956275771577,6.553333000000002,6.73772216702351,1.15,1.801000000000002,1.0,OUT
1.0,2018090600.0,344.0,16.729999999999997,11.14,1.368575902169839,0.809567785920368,7.703333000000001,4.497043473216598,1.02,2.299999999999997,0.0,OUT
1.0,2018090600.0,402.0,13.169999999999998,25.65,1.2935609765295168,2.102617416459782,13.36,,1.8,3.5,0.0,HITCH
1.0,2018090600.0,492.0,14.540000000000001,0.9899999999999949,0.7381734213584251,7.425173398648681,10.7,,2.83,3.100999999999999,1.0,FLAT
1.0,2018090600.0,521.0,0.019999999999999574,10.96,1.1300442469213308,2.3947024867402638,19.22,,4.88,3.599,1.0,FLAT
1.0,2018090600.0,545.0,18.5,19.97,2.604649688537789,3.0352759347380593,5.24,,2.8,4.901,0.0,HITCH
1.0,2018090600.0,636.0,9.110000000000001,11.089999999999998,1.6017802595861894,0.997045635866284,13.02,,1.05,2.2989999999999995,0.0,IN
1.0,2018090600.0,752.0,10.79,10.21,0.9618731725128844,2.196929675706523,12.013333000000003,5.822207485138264,0.45,2.0989999999999966,1.0,IN
1.0,2018090600.0,889.0,0.7100000000000009,20.150000000000006,0.83216584885466,0.5842088667591439,22.73,,0.68,2.799999999999997,0.0,POST
1.0,2018090600.0,949.0,8.48,1.870000000000001,1.0139033484509226,15.482028290892638,13.183333000000005,,3.21,2.100999999999999,1.0,FLAT
1.0,2018090600.0,992.0,8.229999999999997,7.019999999999996,1.2509596316428415,4.788527957525161,9.713333000000006,,5.19,2.8000000000000007,1.0,CROSS
1.0,2018090600.0,1037.0,5.369999999999997,18.08,0.7798717843338129,0.24596747752497558,16.53,2.1317832910500107,1.78,3.6000000000000014,1.0,HITCH
1.0,2018090600.0,1061.0,8.68,9.620000000000005,1.8777912557044214,0.5547071299343465,14.98,,0.35,2.6999999999999993,1.0,IN
1.0,2018090600.0,1085.0,15.41,11.440000000000005,1.7584083712266603,5.430073664325368,8.463333000000006,7.732121313067974,5.2,2.5,1.0,OUT
1.0,2018090600.0,1202.0,1.370000000000001,9.02,0.8405950273467008,1.940231944897311,20.84,3.839010289124011,3.0,2.898999999999994,1.0,ANGLE
1.0,2018090600.0,1226.0,14.329999999999998,19.000000000000004,1.2809761902549177,0.6140032573203522,16.723333000000004,2.728827587078383,1.38,3.0,0.0,
1.0,2018090600.0,1295.0,22.39,29.400000000000002,0.38209946349085727,0.7505997601918082,0.9433330000000026,,0.41,2.3999999999999986,0.0,GO
1.0,2018090600.0,1344.0,7.559999999999999,19.72,0.902551937563707,3.453490987392322,15.77,,0.5,3.4999999999999982,1.0,HITCH
1.0,2018090600.0,1423.0,24.81,30.94,0.4204759208325672,1.940231944897311,3.233333000000002,,2.53,3.6999999999999993,1.0,OUT
1.0,2018090600.0,1473.0,10.5,11.71,0.9078546139112809,2.4191320757660146,11.643333000000005,,1.14,2.398999999999994,1.0,HITCH
1.0,2018090600.0,1546.0,25.150000000000002,22.049999999999997,0.7088018058667745,1.8603494295427372,1.553333000000002,,1.71,2.7989999999999995,0.0,GO
